z6-07592,Port 1,Port 2,Port 3,Port 4,Port 5,Port 6,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
12/22/23 10:25,-0.053,-0.033,-0.066,-0.043,-0.067,-0.055,0,6917,100.60,20.3
12/22/23 10:30,-0.053,-0.033,-0.066,-0.043,-0.067,-0.055,0,6919,100.59,20.3
12/22/23 10:35,-0.053,-0.033,-0.066,-0.042,-0.067,-0.055,0,6919,100.59,20.3
12/22/23 10:40,-0.053,-0.033,-0.066,-0.043,-0.067,-0.054,0,6916,100.58,20.3
12/22/23 10:45,-0.053,-0.033,-0.066,-0.043,-0.067,-0.055,0,6918,100.58,20.3
12/22/23 10:50,-0.053,-0.033,-0.065,-0.043,-0.067,-0.054,0,6916,100.58,20.3
12/22/23 10:55,-0.053,-0.033,-0.066,-0.044,-0.067,-0.055,0,6916,100.57,20.4
12/22/23 11:00,-0.054,-0.033,-0.066,-0.043,-0.068,-0.055,0,6916,100.56,20.4
12/22/23 11:05,-0.054,-0.034,-0.066,-0.045,-0.067,-0.055,0,6915,100.56,20.4
12/22/23 11:10,-0.053,-0.034,-0.066,-0.046,-0.067,-0.055,0,6915,100.56,20.4
12/22/23 11:15,-0.054,-0.034,-0.067,-0.046,-0.067,-0.055,0,6912,100.56,20.4
12/22/23 11:20,-0.054,-0.034,-0.066,-0.046,-0.068,-0.055,0,6913,100.57,20.4
12/22/23 11:25,-0.054,-0.034,-0.066,-0.046,-0.067,-0.055,0,6913,100.57,20.5
12/22/23 11:30,-0.055,-0.035,-0.067,-0.047,-0.068,-0.055,0,6916,100.57,20.5
12/22/23 11:35,-0.055,-0.036,-0.067,-0.047,-0.068,-0.056,0,6913,100.56,20.5
12/22/23 11:40,-0.055,-0.036,-0.068,-0.047,-0.068,-0.056,0,6914,100.56,20.5
12/22/23 11:45,-0.055,-0.037,-0.068,-0.047,-0.069,-0.055,0,6912,100.57,20.6
12/22/23 11:50,-0.055,-0.037,-0.068,-0.048,-0.069,-0.056,0,6913,100.59,20.6
12/22/23 11:55,-0.055,-0.037,-0.068,-0.048,-0.069,-0.056,0,6910,100.60,20.6
12/22/23 12:00,-0.056,-0.038,-0.068,-0.049,-0.069,-0.056,0,6910,100.60,20.7
12/22/23 12:05,-0.056,-0.038,-0.069,-0.048,-0.069,-0.056,0,6909,100.60,20.7
12/22/23 12:10,-0.056,-0.039,-0.069,-0.049,-0.070,-0.056,0,6907,100.59,20.7
12/22/23 12:15,-0.057,-0.039,-0.070,-0.049,-0.070,-0.056,0,6908,100.60,20.8
12/22/23 12:20,-0.056,-0.039,-0.069,-0.049,-0.070,-0.056,0,6909,100.61,20.8
12/22/23 12:25,-0.057,-0.040,-0.070,-0.050,-0.070,-0.056,0,6908,100.61,20.8
12/22/23 12:30,-0.056,-0.040,-0.070,-0.050,-0.071,-0.057,0,6907,100.59,20.9
12/22/23 12:35,-0.057,-0.040,-0.070,-0.049,-0.071,-0.057,0,6907,100.57,20.9
12/22/23 12:40,-0.057,-0.040,-0.070,-0.050,-0.071,-0.057,0,6907,100.57,20.9
12/22/23 12:45,-0.057,-0.040,-0.070,-0.050,-0.071,-0.057,0,6909,100.56,20.9
12/22/23 12:50,-0.058,-0.040,-0.070,-0.050,-0.071,-0.057,0,6906,100.55,20.9
12/22/23 12:55,-0.058,-0.040,-0.070,-0.050,-0.071,-0.057,0,6902,100.54,20.9
12/22/23 13:00,-0.057,-0.040,-0.070,-0.050,-0.072,-0.056,0,6905,100.54,21.0
12/22/23 13:05,-0.057,-0.040,-0.070,-0.050,-0.071,-0.056,0,6903,100.53,21.0
12/22/23 13:10,-0.057,-0.041,-0.070,-0.050,-0.071,-0.057,0,6903,100.53,21.0
12/22/23 13:15,-0.058,-0.040,-0.070,-0.050,-0.071,-0.057,0,6903,100.52,21.0
12/22/23 13:20,-0.058,-0.041,-0.071,-0.050,-0.072,-0.057,0,6901,100.51,21.0
12/22/23 13:25,-0.057,-0.041,-0.070,-0.050,-0.072,-0.057,0,6902,100.49,21.0
12/22/23 13:30,-0.057,-0.041,-0.070,-0.050,-0.072,-0.057,0,6900,100.48,21.0
12/22/23 13:35,-0.057,-0.041,-0.070,-0.051,-0.072,-0.057,0,6899,100.48,21.0
12/22/23 13:40,-0.058,-0.042,-0.071,-0.051,-0.072,-0.057,0,6899,100.48,21.1
12/22/23 13:45,-0.058,-0.042,-0.071,-0.051,-0.072,-0.057,0,6900,100.48,21.1
12/22/23 13:50,-0.058,-0.042,-0.071,-0.051,-0.072,-0.058,0,6899,100.47,21.1
12/22/23 13:55,-0.058,-0.043,-0.072,-0.051,-0.073,-0.058,0,6895,100.46,21.2
12/22/23 14:00,-0.058,-0.045,-0.071,-0.051,-0.073,-0.058,0,6896,100.46,21.2
12/22/23 14:05,-0.058,-0.050,-0.072,-0.051,-0.073,-0.057,0,6898,100.45,21.2
12/22/23 14:10,-0.059,-0.051,-0.072,-0.051,-0.073,-0.058,0,6897,100.45,21.3
12/22/23 14:15,-0.059,-0.051,-0.073,-0.052,-0.073,-0.058,0,6894,100.44,21.3
12/22/23 14:20,-0.059,-0.051,-0.073,-0.052,-0.074,-0.058,0,6894,100.43,21.3
12/22/23 14:25,-0.059,-0.052,-0.074,-0.053,#N/A,-0.058,0,6894,100.43,21.4
12/22/23 14:30,-0.060,-0.052,-0.074,-0.053,#N/A,-0.058,0,6894,100.42,21.4
12/22/23 14:35,-0.060,-0.053,-0.074,-0.053,#N/A,-0.058,0,6894,100.42,21.5
12/22/23 14:40,-0.060,-0.053,#N/A,-0.053,#N/A,-0.059,0,6892,100.41,21.5
12/22/23 14:45,-0.060,-0.053,#N/A,-0.053,#N/A,-0.058,0,6893,100.41,21.5
12/22/23 14:50,-0.061,-0.053,#N/A,-0.055,#N/A,-0.058,0,6889,100.41,21.6
12/22/23 14:55,-0.061,-0.053,#N/A,-0.054,#N/A,-0.058,0,6887,100.42,21.6
12/22/23 15:00,-0.061,-0.053,#N/A,-0.054,#N/A,-0.059,0,6891,100.41,21.6
12/22/23 15:05,-0.060,-0.053,#N/A,-0.055,#N/A,-0.059,0,6889,100.40,21.6
12/22/23 15:10,-0.060,-0.052,#N/A,-0.054,#N/A,-0.058,0,6885,100.39,21.6
12/22/23 15:15,-0.061,-0.053,#N/A,-0.055,#N/A,-0.059,0,6886,100.39,21.6
12/22/23 15:20,-0.061,-0.053,#N/A,-0.055,#N/A,-0.059,0,6886,100.38,21.6
12/22/23 15:25,-0.061,-0.053,#N/A,-0.054,#N/A,-0.059,0,6885,100.39,21.6
12/22/23 15:30,-0.061,-0.054,#N/A,-0.054,#N/A,-0.059,0,6884,100.39,21.7
12/22/23 15:35,-0.061,-0.053,#N/A,-0.054,#N/A,-0.059,0,6884,100.40,21.7
12/22/23 15:40,-0.061,-0.054,#N/A,-0.055,#N/A,-0.059,0,6882,100.40,21.7
12/22/23 15:45,-0.061,-0.053,#N/A,-0.055,#N/A,-0.059,0,6881,100.40,21.7
12/22/23 15:50,-0.061,-0.053,#N/A,-0.055,#N/A,-0.059,0,6882,100.41,21.7
12/22/23 15:55,-0.061,-0.054,#N/A,-0.055,#N/A,-0.059,0,6881,100.41,21.7
12/22/23 16:00,-0.061,-0.054,#N/A,-0.054,#N/A,-0.059,0,6881,100.42,21.7
12/22/23 16:05,-0.061,-0.053,#N/A,-0.054,#N/A,-0.058,0,6878,100.41,21.7
12/22/23 16:10,-0.061,-0.054,#N/A,-0.055,#N/A,-0.059,0,6878,100.41,21.7
12/22/23 16:15,-0.061,-0.054,#N/A,-0.055,#N/A,-0.059,0,6878,100.40,21.7
12/22/23 16:20,-0.061,-0.054,#N/A,-0.055,#N/A,-0.059,0,6877,100.38,21.7
12/22/23 16:25,-0.061,-0.054,#N/A,-0.054,#N/A,-0.059,0,6878,100.38,21.7
12/22/23 16:30,-0.061,-0.053,#N/A,-0.054,#N/A,-0.059,0,6875,100.39,21.7
12/22/23 16:35,-0.061,-0.054,#N/A,-0.054,#N/A,-0.058,0,6875,100.39,21.7
12/22/23 16:40,-0.061,-0.054,#N/A,-0.055,#N/A,-0.059,0,6873,100.40,21.7
12/22/23 16:45,-0.061,-0.054,#N/A,-0.054,#N/A,-0.058,0,6873,100.40,21.7
12/22/23 16:50,-0.061,-0.054,#N/A,-0.055,#N/A,-0.059,0,6871,100.39,21.8
12/22/23 16:55,-0.061,-0.054,#N/A,-0.055,#N/A,-0.059,0,6873,100.39,21.8
12/22/23 17:00,-0.061,-0.054,#N/A,-0.055,#N/A,-0.059,0,6869,100.40,21.8
12/22/23 17:05,-0.062,-0.054,#N/A,-0.055,#N/A,-0.059,0,6868,100.40,21.8
12/22/23 17:10,-0.062,-0.054,#N/A,-0.054,#N/A,-0.059,0,6868,100.40,21.8
12/22/23 17:15,-0.061,-0.054,#N/A,-0.054,#N/A,-0.059,0,6868,100.40,21.8
12/22/23 17:20,-0.062,-0.054,#N/A,-0.055,#N/A,-0.059,0,6866,100.40,21.8
12/22/23 17:25,-0.062,-0.054,#N/A,-0.055,#N/A,-0.059,0,6863,100.41,21.8
12/22/23 17:30,-0.061,-0.054,#N/A,-0.055,#N/A,-0.059,0,6858,100.42,21.8
12/22/23 17:35,-0.062,-0.054,#N/A,-0.055,#N/A,-0.059,0,6862,100.42,21.8
12/22/23 17:40,-0.061,-0.054,#N/A,-0.055,#N/A,-0.059,0,6859,100.43,21.8
12/22/23 17:45,-0.061,-0.054,#N/A,-0.055,#N/A,-0.059,0,6862,100.42,21.8
12/22/23 17:50,-0.061,-0.054,#N/A,-0.054,#N/A,-0.059,0,6856,100.42,21.8
12/22/23 17:55,-0.061,-0.054,#N/A,-0.054,#N/A,-0.059,0,6856,100.42,21.8
12/22/23 18:00,-0.061,-0.054,#N/A,-0.055,#N/A,-0.059,0,6855,100.42,21.8
12/22/23 18:05,-0.062,-0.054,#N/A,-0.055,#N/A,-0.059,0,6854,100.43,21.8
12/22/23 18:10,-0.061,-0.054,#N/A,-0.054,#N/A,-0.059,0,6853,100.43,21.8
12/22/23 18:15,-0.061,-0.054,#N/A,-0.054,#N/A,-0.058,0,6853,100.43,21.8
12/22/23 18:20,-0.061,-0.054,#N/A,-0.055,#N/A,-0.059,0,6853,100.43,21.8
12/22/23 18:25,-0.061,-0.054,#N/A,-0.055,#N/A,-0.059,0,6850,100.44,21.8
12/22/23 18:30,-0.061,-0.054,#N/A,-0.054,#N/A,-0.059,0,6850,100.44,21.8
12/22/23 18:35,-0.061,-0.054,#N/A,-0.055,#N/A,-0.059,0,6847,100.44,21.7
12/22/23 18:40,-0.061,-0.053,#N/A,-0.055,#N/A,-0.059,0,6847,100.45,21.7
12/22/23 18:45,-0.061,-0.053,#N/A,-0.055,#N/A,-0.058,0,6846,100.45,21.7
12/22/23 18:50,-0.061,-0.053,#N/A,-0.055,#N/A,-0.059,0,6845,100.45,21.7
12/22/23 18:55,-0.061,-0.053,#N/A,-0.054,#N/A,-0.058,0,6840,100.46,21.7
12/22/23 19:00,-0.061,-0.053,#N/A,-0.054,#N/A,-0.059,0,6840,100.45,21.7
12/22/23 19:05,-0.061,-0.053,#N/A,-0.054,#N/A,-0.058,0,6839,100.45,21.7
12/22/23 19:10,-0.061,-0.053,#N/A,-0.054,#N/A,-0.059,0,6838,100.45,21.7
12/22/23 19:15,-0.061,-0.053,#N/A,-0.054,#N/A,-0.059,0,6835,100.45,21.7
12/22/23 19:20,-0.060,-0.052,#N/A,-0.054,#N/A,-0.059,0,6833,100.45,21.7
12/22/23 19:25,-0.061,-0.052,#N/A,-0.054,#N/A,-0.058,0,6831,100.46,21.7
12/22/23 19:30,-0.060,-0.052,#N/A,-0.054,#N/A,-0.058,0,6830,100.47,21.6
12/22/23 19:35,-0.060,-0.052,#N/A,-0.053,#N/A,-0.058,0,6827,100.48,21.6
12/22/23 19:40,-0.060,-0.052,#N/A,-0.054,#N/A,-0.058,0,6822,100.48,21.6
